,Name,Link
330,Nicolas Jackson,https://fbref.com//en/players/9c36ed83/Nicolas-Jackson
331,Wesley Fofana,https://fbref.com//en/players/132a82f1/Wesley-Fofana
332,Noni Madueke,https://fbref.com//en/players/bf34eebd/Noni-Madueke
333,Marc Cucurella,https://fbref.com//en/players/1daec722/Marc-Cucurella
334,Malo Gusto,https://fbref.com//en/players/d56b9520/Malo-Gusto
335,Enzo Fernández,https://fbref.com//en/players/5ff4ab71/Enzo-Fernandez
336,Pedro Neto,https://fbref.com//en/players/7ba2eaa9/Pedro-Neto
337,Roméo Lavia,https://fbref.com//en/players/ecad9aa5/Romeo-Lavia
338,Jadon Sancho,https://fbref.com//en/players/dbf053da/Jadon-Sancho
339,Tosin Adarabioyo,https://fbref.com//en/players/c81d773d/Tosin-Adarabioyo
340,Reece James,https://fbref.com//en/players/1265a93a/Reece-James
341,João Félix,https://fbref.com//en/players/8aafd64f/Joao-Felix
342,Christopher Nkunku,https://fbref.com//en/players/7c56da38/Christopher-Nkunku
343,Axel Disasi,https://fbref.com//en/players/ad82197c/Axel-Disasi
344,Renato Veiga,https://fbref.com//en/players/fc8fcbd1/Renato-Veiga
345,Benoît Badiashile,https://fbref.com//en/players/06df8256/Benoit-Badiashile
346,Mykhailo Mudryk,https://fbref.com//en/players/049a888d/Mykhailo-Mudryk
